index,message_time,s,v,vehID,vehicle_number,x,y
0,2600.0,0.0,0.0,flow_12.0,1.0,101.65,5.1
1,2800.0,0.10400000000000009,0.52,flow_12.0,1.0,101.65,5.204
2,3000.0,0.3120000000000003,1.04,flow_12.0,1.0,101.65,5.412
3,3200.0,0.6240000000000006,1.56,flow_12.0,1.0,101.65,5.724
4,3400.0,1.040000000000001,2.08,flow_12.0,1.0,101.65,6.140000000000001
5,3600.0,1.5600000000000005,2.6,flow_12.0,1.0,101.65,6.660000000000001
6,3800.0,2.184000000000001,3.12,flow_12.0,1.0,101.65,7.284000000000001
7,4000.0,2.912000000000001,3.64,flow_12.0,1.0,101.65,8.012
8,4200.0,3.7440000000000015,4.16,flow_12.0,1.0,101.65,8.844000000000001
9,4400.0,4.6800000000000015,4.68,flow_12.0,1.0,101.65,9.780000000000001
10,4600.0,5.720000000000001,5.199999999999999,flow_12.0,1.0,101.65,10.82
11,4800.0,6.864000000000001,5.719999999999999,flow_12.0,1.0,101.65,11.963999999999999
12,5000.0,8.112,6.239999999999998,flow_12.0,1.0,101.65,13.212
13,5200.0,9.464,6.759999999999998,flow_12.0,1.0,101.65,14.563999999999998
14,5400.0,10.92,7.279999999999998,flow_12.0,1.0,101.65,16.02
15,5600.0,12.422200228391647,7.5110011419582285,flow_12.0,1.0,101.65,17.522200228391647
16,5800.0,13.924400456783294,7.5110011419582285,flow_12.0,1.0,101.65,19.024400456783294
17,6000.0,15.426600685174941,7.5110011419582285,flow_12.0,1.0,101.65,20.52660068517494
18,6200.0,16.92880091356659,7.5110011419582285,flow_12.0,1.0,101.65,22.028800913566588
19,6400.0,18.431001141958234,7.5110011419582285,flow_12.0,1.0,101.65,23.531001141958235
20,6600.0,19.933201370349884,7.5110011419582285,flow_12.0,1.0,101.65,25.033201370349882
21,6800.0,21.435401598741528,7.5110011419582285,flow_12.0,1.0,101.65,26.535401598741526
22,7000.0,22.93760182713318,7.5110011419582285,flow_12.0,1.0,101.65,28.037601827133177
23,7200.0,24.439802055524822,7.5110011419582285,flow_12.0,1.0,101.65,29.539802055524824
24,7400.0,25.942002283916473,7.5110011419582285,flow_12.0,1.0,101.65,31.04200228391647
25,7600.0,27.444202512308117,7.5110011419582285,flow_12.0,1.0,101.65,32.54420251230812
26,7800.0,28.94640274069976,7.5110011419582285,flow_12.0,1.0,101.65,34.04640274069976
27,8000.0,30.448602969091404,7.5110011419582285,flow_12.0,1.0,101.65,35.548602969091405
28,8200.0,31.950803197483047,7.5110011419582285,flow_12.0,1.0,101.65,37.05080319748305
29,8400.0,33.45300342587469,7.5110011419582285,flow_12.0,1.0,101.65,38.55300342587469
30,8600.0,34.955203654266334,7.5110011419582285,flow_12.0,1.0,101.65,40.055203654266336
31,8800.0,36.45740388265798,7.5110011419582285,flow_12.0,1.0,101.65,41.55740388265798
32,9000.0,37.95960411104962,7.5110011419582285,flow_12.0,1.0,101.65,43.05960411104962
33,9200.0,39.461804339441265,7.5110011419582285,flow_12.0,1.0,101.65,44.56180433944127
